Unnamed: 0,Name,Type,Health,Attack,Defence,Moves
115,Dodrio,Normal,60,110,70,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
116,Seel,Water,65,45,55,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
117,Dewgong,Water,90,70,80,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
118,Grimer,Poison,80,80,50,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
119,Grimer,Poison,80,80,50,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
120,Muk,Poison,105,105,75,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
121,Muk,Poison,105,105,75,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
122,Shellder,Water,30,65,100,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
123,Cloyster,Water,50,95,180,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
124,Gastly,Ghost,30,35,30,"Astonish,Astral Barrage,Bitter Malice,Confuse Ray,Curse,Destiny Bond,G-Max Terror,Grudge,Hex,Infernal Parade,Last Respects,Lick,Max Phantasm,Menacing Moonraze Maelstrom,Moongeist Beam,Never-Ending Nightmare,Night Shade,Nightmare,Ominous Wind,Phantom Force,Poltergeist,Rage Fist,Shadow Ball,Shadow Bone,Shadow Claw,Shadow Force,Shadow Punch,Shadow Sneak,Sinister Arrow Raid,Soul-Stealing 7-Star Strike,Spectral Thief,Spirit Shackle,Spite,Trick-or-Treat"
125,Haunter,Ghost,45,50,45,"Astonish,Astral Barrage,Bitter Malice,Confuse Ray,Curse,Destiny Bond,G-Max Terror,Grudge,Hex,Infernal Parade,Last Respects,Lick,Max Phantasm,Menacing Moonraze Maelstrom,Moongeist Beam,Never-Ending Nightmare,Night Shade,Nightmare,Ominous Wind,Phantom Force,Poltergeist,Rage Fist,Shadow Ball,Shadow Bone,Shadow Claw,Shadow Force,Shadow Punch,Shadow Sneak,Sinister Arrow Raid,Soul-Stealing 7-Star Strike,Spectral Thief,Spirit Shackle,Spite,Trick-or-Treat"
126,Gengar,Ghost,60,65,60,"Astonish,Astral Barrage,Bitter Malice,Confuse Ray,Curse,Destiny Bond,G-Max Terror,Grudge,Hex,Infernal Parade,Last Respects,Lick,Max Phantasm,Menacing Moonraze Maelstrom,Moongeist Beam,Never-Ending Nightmare,Night Shade,Nightmare,Ominous Wind,Phantom Force,Poltergeist,Rage Fist,Shadow Ball,Shadow Bone,Shadow Claw,Shadow Force,Shadow Punch,Shadow Sneak,Sinister Arrow Raid,Soul-Stealing 7-Star Strike,Spectral Thief,Spirit Shackle,Spite,Trick-or-Treat"
127,Gengar,Ghost,60,65,80,"Astonish,Astral Barrage,Bitter Malice,Confuse Ray,Curse,Destiny Bond,G-Max Terror,Grudge,Hex,Infernal Parade,Last Respects,Lick,Max Phantasm,Menacing Moonraze Maelstrom,Moongeist Beam,Never-Ending Nightmare,Night Shade,Nightmare,Ominous Wind,Phantom Force,Poltergeist,Rage Fist,Shadow Ball,Shadow Bone,Shadow Claw,Shadow Force,Shadow Punch,Shadow Sneak,Sinister Arrow Raid,Soul-Stealing 7-Star Strike,Spectral Thief,Spirit Shackle,Spite,Trick-or-Treat"
128,Onix,Rock,35,45,160,"Accelerock,Ancient Power,Continental Crush,Diamond Storm,G-Max Volcalith,Head Smash,Max Rockfall,Meteor Beam,Mighty Cleave,Power Gem,Rock Blast,Rock Polish,Rock Slide,Rock Throw,Rock Tomb,Rock Wrecker,Rollout,Salt Cure,Sandstorm,Smack Down,Splintered Stormshards,Stealth Rock,Stone Axe,Stone Edge,Tar Shot,Wide Guard"
129,Drowzee,Psychic,60,48,45,"Agility,Ally Switch,Amnesia,Barrier,Calm Mind,Confusion,Cosmic Power,Dream Eater,Eerie Spell,Esper Wing,Expanding Force,Extrasensory,Freezing Glare,Future Sight,G-Max Gravitas,Genesis Supernova,Glitzy Glow,Gravity,Guard Split,Guard Swap,Heal Block,Heal Pulse,Healing Wish,Heart Stamp,Heart Swap,Hyperspace Hole,Hypnosis,Imprison,Instruct,Kinesis,Light Screen,Light That Burns the Sky,Lumina Crash,Lunar Blessing,Lunar Dance,Luster Purge,Magic Coat,Magic Powder,Magic Room,Max Mindstorm,Meditate,Miracle Eye,Mirror Coat,Mist Ball,Mystical Power,Photon Geyser,Power Split,Power Swap,Power Trick,Prismatic Laser,Psybeam,Psyblade,Psychic,Psychic Fangs,Psychic Noise,Psychic Terrain,Psycho Boost,Psycho Cut,Psycho Shift,Psyshield Bash,Psyshock,Psystrike,Psywave,Reflect,Rest,Role Play,Shattered Psyche,Skill Swap,Speed Swap,Stored Power,Synchronoise,Take Heart,Telekinesis,Teleport,Trick,Trick Room,Twin Beam,Wonder Room,Zen Headbutt"
130,Hypno,Psychic,85,73,70,"Agility,Ally Switch,Amnesia,Barrier,Calm Mind,Confusion,Cosmic Power,Dream Eater,Eerie Spell,Esper Wing,Expanding Force,Extrasensory,Freezing Glare,Future Sight,G-Max Gravitas,Genesis Supernova,Glitzy Glow,Gravity,Guard Split,Guard Swap,Heal Block,Heal Pulse,Healing Wish,Heart Stamp,Heart Swap,Hyperspace Hole,Hypnosis,Imprison,Instruct,Kinesis,Light Screen,Light That Burns the Sky,Lumina Crash,Lunar Blessing,Lunar Dance,Luster Purge,Magic Coat,Magic Powder,Magic Room,Max Mindstorm,Meditate,Miracle Eye,Mirror Coat,Mist Ball,Mystical Power,Photon Geyser,Power Split,Power Swap,Power Trick,Prismatic Laser,Psybeam,Psyblade,Psychic,Psychic Fangs,Psychic Noise,Psychic Terrain,Psycho Boost,Psycho Cut,Psycho Shift,Psyshield Bash,Psyshock,Psystrike,Psywave,Reflect,Rest,Role Play,Shattered Psyche,Skill Swap,Speed Swap,Stored Power,Synchronoise,Take Heart,Telekinesis,Teleport,Trick,Trick Room,Twin Beam,Wonder Room,Zen Headbutt"
131,Krabby,Water,30,105,90,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
132,Kingler,Water,55,130,115,"Aqua Cutter,Aqua Jet,Aqua Ring,Aqua Step,Aqua Tail,Bouncy Bubble,Brine,Bubble,Bubble Beam,Chilling Water,Clamp,Crabhammer,Dive,Fishious Rend,Flip Turn,G-Max Cannonade,G-Max Foam Burst,G-Max Hydrosnipe,G-Max Rapid Flow,G-Max Stonesurge,Hydro Cannon,Hydro Pump,Hydro Steam,Hydro Vortex,Jet Punch,Life Dew,Liquidation,Max Geyser,Muddy Water,Oceanic Operetta,Octazooka,Origin Pulse,Rain Dance,Razor Shell,Scald,Snipe Shot,Soak,Sparkling Aria,Splishy Splash,Steam Eruption,Surf,Surging Strikes,Triple Dive,Water Gun,Water Pledge,Water Pulse,Water Shuriken,Water Sport,Water Spout,Waterfall,Wave Crash,Whirlpool,Withdraw"
133,Voltorb,Electric,40,30,50,"10,000,000 Volt Thunderbolt,Aura Wheel,Bolt Beak,Bolt Strike,Buzzy Buzz,Catastropika,Charge,Charge Beam,Discharge,Double Shock,Eerie Impulse,Electric Terrain,Electrify,Electro Ball,Electro Drift,Electro Shot,Electroweb,Fusion Bolt,G-Max Stun Shock,G-Max Volt Crash,Gigavolt Havoc,Ion Deluge,Magnet Rise,Magnetic Flux,Max Lightning,Nuzzle,Overdrive,Parabolic Charge,Pika Papow,Plasma Fists,Rising Voltage,Shock Wave,Spark,Stoked Sparksurfer,Supercell Slam,Thunder,Thunder Cage,Thunder Fang,Thunder Punch,Thunder Shock,Thunder Wave,Thunderbolt,Thunderclap,Volt Switch,Volt Tackle,Wild Charge,Wildbolt Storm,Zap Cannon,Zing Zap,Zippy Zap"
134,Voltorb,Electric,40,30,50,"10,000,000 Volt Thunderbolt,Aura Wheel,Bolt Beak,Bolt Strike,Buzzy Buzz,Catastropika,Charge,Charge Beam,Discharge,Double Shock,Eerie Impulse,Electric Terrain,Electrify,Electro Ball,Electro Drift,Electro Shot,Electroweb,Fusion Bolt,G-Max Stun Shock,G-Max Volt Crash,Gigavolt Havoc,Ion Deluge,Magnet Rise,Magnetic Flux,Max Lightning,Nuzzle,Overdrive,Parabolic Charge,Pika Papow,Plasma Fists,Rising Voltage,Shock Wave,Spark,Stoked Sparksurfer,Supercell Slam,Thunder,Thunder Cage,Thunder Fang,Thunder Punch,Thunder Shock,Thunder Wave,Thunderbolt,Thunderclap,Volt Switch,Volt Tackle,Wild Charge,Wildbolt Storm,Zap Cannon,Zing Zap,Zippy Zap"
135,Electrode,Electric,60,50,70,"10,000,000 Volt Thunderbolt,Aura Wheel,Bolt Beak,Bolt Strike,Buzzy Buzz,Catastropika,Charge,Charge Beam,Discharge,Double Shock,Eerie Impulse,Electric Terrain,Electrify,Electro Ball,Electro Drift,Electro Shot,Electroweb,Fusion Bolt,G-Max Stun Shock,G-Max Volt Crash,Gigavolt Havoc,Ion Deluge,Magnet Rise,Magnetic Flux,Max Lightning,Nuzzle,Overdrive,Parabolic Charge,Pika Papow,Plasma Fists,Rising Voltage,Shock Wave,Spark,Stoked Sparksurfer,Supercell Slam,Thunder,Thunder Cage,Thunder Fang,Thunder Punch,Thunder Shock,Thunder Wave,Thunderbolt,Thunderclap,Volt Switch,Volt Tackle,Wild Charge,Wildbolt Storm,Zap Cannon,Zing Zap,Zippy Zap"
136,Electrode,Electric,60,50,70,"10,000,000 Volt Thunderbolt,Aura Wheel,Bolt Beak,Bolt Strike,Buzzy Buzz,Catastropika,Charge,Charge Beam,Discharge,Double Shock,Eerie Impulse,Electric Terrain,Electrify,Electro Ball,Electro Drift,Electro Shot,Electroweb,Fusion Bolt,G-Max Stun Shock,G-Max Volt Crash,Gigavolt Havoc,Ion Deluge,Magnet Rise,Magnetic Flux,Max Lightning,Nuzzle,Overdrive,Parabolic Charge,Pika Papow,Plasma Fists,Rising Voltage,Shock Wave,Spark,Stoked Sparksurfer,Supercell Slam,Thunder,Thunder Cage,Thunder Fang,Thunder Punch,Thunder Shock,Thunder Wave,Thunderbolt,Thunderclap,Volt Switch,Volt Tackle,Wild Charge,Wildbolt Storm,Zap Cannon,Zing Zap,Zippy Zap"
137,Exeggcute,Grass,60,40,80,"Absorb,Apple Acid,Aromatherapy,Bloom Doom,Branch Poke,Bullet Seed,Chloroblast,Cotton Guard,Cotton Spore,Drum Beating,Energy Ball,Flower Trick,Forest's Curse,Frenzy Plant,G-Max Drum Solo,G-Max Sweetness,G-Max Tartness,G-Max Vine Lash,Giga Drain,Grass Knot,Grass Pledge,Grass Whistle,Grassy Glide,Grassy Terrain,Grav Apple,Horn Leech,Ingrain,Ivy Cudgel,Jungle Healing,Leaf Blade,Leaf Storm,Leaf Tornado,Leafage,Leech Seed,Magical Leaf,Matcha Gotcha,Max Overgrowth,Mega Drain,Needle Arm,Petal Blizzard,Petal Dance,Power Whip,Razor Leaf,Sappy Seed,Seed Bomb,Seed Flare,Sleep Powder,Snap Trap,Solar Beam,Solar Blade,Spicy Extract,Spiky Shield,Spore,Strength Sap,Stun Spore,Synthesis,Syrup Bomb,Trailblaze,Trop Kick,Vine Whip,Wood Hammer,Worry Seed"
138,Exeggutor,Grass,95,95,85,"Absorb,Apple Acid,Aromatherapy,Bloom Doom,Branch Poke,Bullet Seed,Chloroblast,Cotton Guard,Cotton Spore,Drum Beating,Energy Ball,Flower Trick,Forest's Curse,Frenzy Plant,G-Max Drum Solo,G-Max Sweetness,G-Max Tartness,G-Max Vine Lash,Giga Drain,Grass Knot,Grass Pledge,Grass Whistle,Grassy Glide,Grassy Terrain,Grav Apple,Horn Leech,Ingrain,Ivy Cudgel,Jungle Healing,Leaf Blade,Leaf Storm,Leaf Tornado,Leafage,Leech Seed,Magical Leaf,Matcha Gotcha,Max Overgrowth,Mega Drain,Needle Arm,Petal Blizzard,Petal Dance,Power Whip,Razor Leaf,Sappy Seed,Seed Bomb,Seed Flare,Sleep Powder,Snap Trap,Solar Beam,Solar Blade,Spicy Extract,Spiky Shield,Spore,Strength Sap,Stun Spore,Synthesis,Syrup Bomb,Trailblaze,Trop Kick,Vine Whip,Wood Hammer,Worry Seed"
139,Exeggutor,Grass,95,105,85,"Absorb,Apple Acid,Aromatherapy,Bloom Doom,Branch Poke,Bullet Seed,Chloroblast,Cotton Guard,Cotton Spore,Drum Beating,Energy Ball,Flower Trick,Forest's Curse,Frenzy Plant,G-Max Drum Solo,G-Max Sweetness,G-Max Tartness,G-Max Vine Lash,Giga Drain,Grass Knot,Grass Pledge,Grass Whistle,Grassy Glide,Grassy Terrain,Grav Apple,Horn Leech,Ingrain,Ivy Cudgel,Jungle Healing,Leaf Blade,Leaf Storm,Leaf Tornado,Leafage,Leech Seed,Magical Leaf,Matcha Gotcha,Max Overgrowth,Mega Drain,Needle Arm,Petal Blizzard,Petal Dance,Power Whip,Razor Leaf,Sappy Seed,Seed Bomb,Seed Flare,Sleep Powder,Snap Trap,Solar Beam,Solar Blade,Spicy Extract,Spiky Shield,Spore,Strength Sap,Stun Spore,Synthesis,Syrup Bomb,Trailblaze,Trop Kick,Vine Whip,Wood Hammer,Worry Seed"
140,Cubone,Ground,50,50,95,"Bone Club,Bone Rush,Bonemerang,Bulldoze,Dig,Drill Run,Earth Power,Earthquake,Fissure,G-Max Sandblast,Headlong Rush,High Horsepower,Land's Wrath,Magnitude,Max Quake,Mud Bomb,Mud Shot,Mud Sport,Mud-Slap,Precipice Blades,Rototiller,Sand Attack,Sand Tomb,Sandsear Storm,Scorching Sands,Shore Up,Spikes,Stomping Tantrum,Tectonic Rage,Thousand Arrows,Thousand Waves"
141,Marowak,Ground,60,80,110,"Bone Club,Bone Rush,Bonemerang,Bulldoze,Dig,Drill Run,Earth Power,Earthquake,Fissure,G-Max Sandblast,Headlong Rush,High Horsepower,Land's Wrath,Magnitude,Max Quake,Mud Bomb,Mud Shot,Mud Sport,Mud-Slap,Precipice Blades,Rototiller,Sand Attack,Sand Tomb,Sandsear Storm,Scorching Sands,Shore Up,Spikes,Stomping Tantrum,Tectonic Rage,Thousand Arrows,Thousand Waves"
142,Marowak,Fire,60,80,110,"Armor Cannon,Bitter Blade,Blast Burn,Blaze Kick,Blazing Torque,Blue Flare,Burn Up,Burning Bulwark,Burning Jealousy,Ember,Eruption,Fiery Dance,Fire Blast,Fire Fang,Fire Lash,Fire Pledge,Fire Punch,Fire Spin,Flame Burst,Flame Charge,Flame Wheel,Flamethrower,Flare Blitz,Fusion Flare,G-Max Centiferno,G-Max Fireball,G-Max Wildfire,Heat Crash,Heat Wave,Incinerate,Inferno,Inferno Overdrive,Lava Plume,Magma Storm,Max Flare,Mind Blown,Mystical Fire,Overheat,Pyro Ball,Raging Fury,Sacred Fire,Searing Shot,Shell Trap,Sizzly Slide,Sunny Day,Temper Flare,Torch Song,V-create,Will-O-Wisp"
143,Hitmonlee,Fighting,50,120,53,"All-Out Pummeling,Arm Thrust,Aura Sphere,Axe Kick,Body Press,Brick Break,Bulk Up,Circle Throw,Close Combat,Coaching,Collision Course,Combat Torque,Counter,Cross Chop,Detect,Double Kick,Drain Punch,Dynamic Punch,Final Gambit,Flying Press,Focus Blast,Focus Punch,Force Palm,G-Max Chi Strike,Hammer Arm,High Jump Kick,Jump Kick,Karate Chop,Low Kick,Low Sweep,Mach Punch,Mat Block,Max Knuckle,Meteor Assault,No Retreat,Octolock,Power-Up Punch,Quick Guard,Revenge,Reversal,Rock Smash,Rolling Kick,Sacred Sword,Secret Sword,Seismic Toss,Sky Uppercut,Storm Throw,Submission,Superpower,Thunderous Kick,Triple Arrows,Triple Kick,Upper Hand,Vacuum Wave,Victory Dance,Vital Throw,Wake-Up Slap"
144,Hitmonchan,Fighting,50,105,79,"All-Out Pummeling,Arm Thrust,Aura Sphere,Axe Kick,Body Press,Brick Break,Bulk Up,Circle Throw,Close Combat,Coaching,Collision Course,Combat Torque,Counter,Cross Chop,Detect,Double Kick,Drain Punch,Dynamic Punch,Final Gambit,Flying Press,Focus Blast,Focus Punch,Force Palm,G-Max Chi Strike,Hammer Arm,High Jump Kick,Jump Kick,Karate Chop,Low Kick,Low Sweep,Mach Punch,Mat Block,Max Knuckle,Meteor Assault,No Retreat,Octolock,Power-Up Punch,Quick Guard,Revenge,Reversal,Rock Smash,Rolling Kick,Sacred Sword,Secret Sword,Seismic Toss,Sky Uppercut,Storm Throw,Submission,Superpower,Thunderous Kick,Triple Arrows,Triple Kick,Upper Hand,Vacuum Wave,Victory Dance,Vital Throw,Wake-Up Slap"
145,Lickitung,Normal,90,55,75,"Acupressure,After You,Assist,Attract,Barrage,Baton Pass,Belly Drum,Bestow,Bide,Bind,Block,Blood Moon,Body Slam,Boomburst,Breakneck Blitz,Camouflage,Captivate,Celebrate,Chip Away,Comet Punch,Confide,Constrict,Conversion,Conversion 2,Copycat,Court Change,Covet,Crush Claw,Crush Grip,Cut,Defense Curl,Disable,Dizzy Punch,Doodle,Double Hit,Double Slap,Double Team,Double-Edge,Echoed Voice,Egg Bomb,Encore,Endeavor,Endure,Entrainment,Explosion,Extreme Evoboost,Extreme Speed,Facade,Fake Out,False Swipe,Feint,Fillet Away,Flail,Flash,Focus Energy,Follow Me,Foresight,Frustration,Fury Attack,Fury Swipes,G-Max Cuddle,G-Max Gold Rush,G-Max Replenish,Giga Impact,Glare,Growl,Growth,Guillotine,Happy Hour,Harden,Head Charge,Headbutt,Heal Bell,Helping Hand,Hidden Power,Hold Back,Hold Hands,Horn Attack,Horn Drill,Howl,Hyper Beam,Hyper Drill,Hyper Fang,Hyper Voice,Judgment,Laser Focus,Last Resort,Leer,Lock-On,Lovely Kiss,Lucky Chant,Max Guard,Max Strike,Me First,Mean Look,Mega Kick,Mega Punch,Metronome,Milk Drink,Mimic,Mind Reader,Minimize,Morning Sun,Multi-Attack,Natural Gift,Nature Power,Noble Roar,Odor Sleuth,Pain Split,Pay Day,Perish Song,Play Nice,Population Bomb,Pound,Power Shift,Present,Protect,Psych Up,Pulverizing Pancake,Quick Attack,Rage,Raging Bull,Rapid Spin,Razor Wind,Recover,Recycle,Reflect Type,Refresh,Relic Song,Retaliate,Return,Revelation Dance,Revival Blessing,Roar,Rock Climb,Round,Safeguard,Scary Face,Scratch,Screech,Secret Power,Self-Destruct,Sharpen,Shed Tail,Shell Smash,Simple Beam,Sing,Sketch,Skull Bash,Slack Off,Slam,Slash,Sleep Talk,Smelling Salts,Smokescreen,Snore,Soft-Boiled,Sonic Boom,Spike Cannon,Spit Up,Splash,Spotlight,Stockpile,Stomp,Strength,Struggle,Stuff Cheeks,Substitute,Super Fang,Supersonic,Swagger,Swallow,Sweet Scent,Swift,Swords Dance,Tackle,Tail Slap,Tail Whip,Take Down,Tearful Look,Teatime,Techno Blast,Teeter Dance,Tera Blast,Tera Starstorm,Terrain Pulse,Thrash,Tickle,Tidy Up,Transform,Tri Attack,Trump Card,Uproar,Veevee Volley,Vise Grip,Weather Ball,Whirlwind,Wish,Work Up,Wrap,Wring Out,Yawn"
146,Koffing,Poison,40,65,95,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
147,Weezing,Poison,65,90,120,"Acid,Acid Armor,Acid Downpour,Acid Spray,Baneful Bunker,Barb Barrage,Belch,Clear Smog,Coil,Corrosive Gas,Cross Poison,Dire Claw,G-Max Malodor,Gastro Acid,Gunk Shot,Malignant Chain,Max Ooze,Mortal Spin,Noxious Torque,Poison Fang,Poison Gas,Poison Jab,Poison Powder,Poison Sting,Poison Tail,Purify,Shell Side Arm,Sludge,Sludge Bomb,Sludge Wave,Smog,Toxic,Toxic Spikes,Toxic Thread,Venom Drench,Venoshock"
